2017-10-26 14:42:48.6432 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.0792 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.0931 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.1051 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.1051 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.1242 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.1352 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.1352 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.1552 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.1662 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.1662 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.1862 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.4524 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.4624 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.4624 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.4624 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.4902 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.4984 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.4984 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.5098 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.5255 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.5255 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.5411 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.5411 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.5567 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.7921 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.8077 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.8077 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.8233 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.8233 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.8390 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.8546 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.8546 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.8702 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.8702 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.8859 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.9014 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:49.9014 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:50.1488 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:50.1488 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:50.1644 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:50.1801 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:50.1801 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:50.1957 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:50.1957 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:50.2113 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:50.2113 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
2017-10-26 14:42:50.2270 WS.EKA.Portal.Filters.ExceptionAndLogFilter.OnException Error Unexpected character encountered while parsing value: ´í. Path '', line 0, position 0.
